Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
288,Tyus Jones\jonesty01,PG,25,MEM,42,13,21.4,3.3,6.9,.478,1.0,2.5,.402,2.3,4.3,.522,.552,0.8,0.9,.917,0.3,2.5,2.8,4.2,0.9,0.0,0.8,0.5,8.4
289,DeAndre Jordan\jordade01,C,33,LAL,28,18,13.0,2.0,3.0,.675,0.0,0.0,,2.0,3.0,.675,.675,0.4,0.6,.588,1.6,4.0,5.6,0.4,0.4,0.9,0.7,1.7,4.4
290,Cory Joseph\josepco01,PG,30,DET,29,6,22.2,2.6,5.6,.457,0.9,2.1,.417,1.7,3.5,.480,.534,1.5,1.8,.846,0.3,1.8,2.1,3.7,0.8,0.2,1.4,1.7,7.5
291,Georgios Kalaitzakis\kalaige01,SF,23,MIL,9,0,5.3,0.6,1.2,.455,0.2,0.4,.500,0.3,0.8,.429,.545,0.4,1.0,.444,0.4,0.4,0.9,0.0,0.1,0.1,0.4,0.9,1.8
292,Frank Kaminsky\kaminfr01,C,28,PHO,9,0,20.1,4.0,7.3,.545,0.6,1.7,.333,3.4,5.7,.608,.583,2.0,2.2,.900,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6
293,Luke Kennard\kennalu01,SG,25,LAC,35,10,29.0,4.1,9.4,.432,2.8,6.3,.441,1.3,3.1,.413,.579,0.8,0.9,.879,0.2,3.2,3.4,2.1,0.7,0.1,0.8,1.6,11.7
294,Braxton Key\keybr01,SF,24,PHI,2,0,3.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0
295,George King\kingge03,SF,28,DAL,4,0,4.8,0.0,1.3,.000,0.0,1.0,.000,0.0,0.3,.000,.000,0.3,0.5,.500,0.0,1.3,1.3,0.0,0.0,0.0,0.3,1.0,0.3
296,Louis King\kinglo02,SF,22,SAC,5,0,11.0,1.8,5.2,.346,1.0,3.2,.313,0.8,2.0,.400,.442,1.2,1.4,.857,0.0,1.6,1.6,0.2,0.4,0.0,0.0,1.6,5.8
297,Corey Kispert\kispeco01,SF,22,WAS,36,5,17.3,2.0,4.8,.421,0.8,2.7,.292,1.2,2.1,.587,.503,0.8,0.9,.848,0.5,1.5,2.0,0.8,0.3,0.3,0.5,0.8,5.6
298,Maxi Kleber\klebima01,PF,30,DAL,25,8,24.7,2.6,6.2,.422,1.7,4.6,.374,0.9,1.6,.564,.562,0.8,1.0,.731,1.2,4.9,6.1,1.1,0.4,0.9,0.7,2.2,7.7
299,Brandon Knight\knighbr03,PG,30,DAL,3,0,18.0,3.0,6.7,.450,1.3,4.3,.308,1.7,2.3,.714,.550,2.7,2.7,1.000,0.0,2.3,2.3,2.7,0.3,0.0,1.3,1.7,10.0
300,Nathan Knight\knighna01,PF,24,MIN,21,2,8.5,1.1,2.1,.533,0.1,0.3,.286,1.0,1.8,.579,.556,1.3,1.9,.700,1.0,1.5,2.5,0.7,0.1,0.3,0.6,1.2,3.7
301,Kevin Knox\knoxke01,SF,22,NYK,12,0,9.2,1.3,3.3,.385,0.8,2.3,.370,0.4,1.0,.417,.513,0.6,0.8,.700,0.6,1.2,1.8,0.3,0.2,0.1,0.4,0.4,3.9
302,John Konchar\konchjo01,SG,25,MEM,35,2,16.5,1.7,3.2,.545,0.7,1.5,.490,1.0,1.7,.590,.656,0.4,0.7,.565,1.1,2.8,3.9,1.3,0.8,0.2,0.4,1.2,4.6
303,Furkan Korkmaz\korkmfu01,SG,24,PHI,35,11,23.1,3.3,8.6,.387,1.5,4.9,.302,1.8,3.7,.500,.473,1.0,1.3,.818,0.3,2.9,3.2,2.3,0.6,0.1,0.9,0.9,9.1
304,Luke Kornet\kornelu01,C,26,TOT,3,0,6.0,0.3,2.0,.167,0.0,0.3,.000,0.3,1.7,.200,.167,0.7,1.0,.667,1.0,0.3,1.3,0.3,0.0,0.3,0.0,0.7,1.3
304,Luke Kornet\kornelu01,C,26,CLE,2,0,7.5,0.5,2.5,.200,0.0,0.5,.000,0.5,2.0,.250,.200,1.0,1.5,.667,1.0,0.5,1.5,0.5,0.0,0.5,0.0,0.5,2.0
304,Luke Kornet\kornelu01,C,26,MIL,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
305,Vit Krejci\krejcvi01,SG,21,OKC,3,0,3.0,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,,.000,0.7,0.7,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.0,0.7
306,Arnoldas Kulboka\kulboar01,SF,24,CHO,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,Jonathan Kuminga\kuminjo01,SF,19,GSW,28,2,9.7,1.8,3.9,.472,0.3,1.2,.265,1.5,2.6,.568,.514,1.0,1.6,.600,0.4,1.3,1.7,0.3,0.4,0.1,0.7,1.3,4.9
308,Kyle Kuzma\kuzmaky01,PF,26,WAS,39,39,33.3,5.9,13.1,.452,1.8,5.7,.323,4.1,7.3,.552,.523,2.0,2.9,.681,1.0,7.6,8.6,2.8,0.6,0.7,2.0,2.0,15.6
309,Anthony Lamb\lamban01,SF,24,SAS,2,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
310,Jeremy Lamb\lambje01,SF,29,IND,28,0,14.6,2.2,6.0,.367,1.0,3.0,.333,1.2,3.0,.400,.450,1.6,1.7,.917,0.4,2.1,2.5,1.3,0.5,0.4,0.5,1.1,7.0
311,Jock Landale\landajo01,C,26,SAS,22,0,9.4,2.0,3.5,.579,0.6,1.3,.500,1.4,2.2,.625,.671,0.6,0.7,.875,1.1,0.8,2.0,0.9,0.1,0.4,0.6,0.9,5.3
312,Romeo Langford\langfro01,SG,22,BOS,31,5,18.9,1.9,4.6,.420,0.6,2.0,.323,1.3,2.6,.494,.490,0.5,0.7,.652,0.9,2.2,3.1,0.5,0.6,0.4,0.4,1.3,5.0
313,Zach LaVine\lavinza01,SF,26,CHI,36,36,34.9,9.3,19.0,.489,3.1,7.4,.410,6.3,11.6,.540,.569,4.1,4.7,.869,0.3,4.7,5.0,4.2,0.6,0.3,2.8,1.6,25.7
314,Jake Layman\laymaja01,SF,27,MIN,18,1,8.6,0.9,2.6,.370,0.2,1.3,.167,0.7,1.2,.591,.413,0.3,0.4,.750,0.2,1.1,1.3,0.3,0.3,0.2,0.4,0.4,2.4
315,Damion Lee\leeda03,SG,29,GSW,29,2,20.3,3.0,6.7,.441,1.2,3.3,.354,1.8,3.4,.525,.528,1.1,1.3,.865,0.3,2.7,3.0,1.0,0.5,0.1,0.6,1.5,8.2
316,Saben Lee\leesa01,PG,22,DET,21,0,15.9,2.1,5.2,.404,0.6,2.0,.279,1.5,3.1,.485,.459,1.3,1.8,.757,0.4,2.1,2.5,2.5,1.1,0.4,0.9,1.0,6.1
317,Alex Len\lenal01,C,28,SAC,27,9,17.8,2.8,5.3,.528,0.2,0.7,.316,2.6,4.6,.561,.549,1.1,1.7,.674,1.5,3.5,5.0,1.1,0.3,0.8,1.2,2.9,6.9
318,Caris LeVert\leverca01,SG,27,IND,28,28,30.4,6.8,15.8,.431,1.6,5.1,.310,5.2,10.7,.488,.481,2.6,3.3,.796,0.6,2.6,3.3,4.0,1.0,0.5,1.8,2.1,17.8
319,Kira Lewis Jr.\lewiski01,PG,20,NOP,24,0,14.2,2.5,6.1,.404,0.5,2.4,.224,1.9,3.7,.523,.449,0.4,0.5,.833,0.4,1.3,1.6,2.0,0.5,0.0,1.1,0.7,5.9
320,Scottie Lewis\lewissc01,SG,21,CHO,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,.500,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
321,Damian Lillard\lillada01,PG,31,POR,29,29,36.4,7.7,19.0,.402,3.2,9.8,.324,4.5,9.2,.485,.486,5.5,6.2,.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24.0
322,Nassir Little\littlna01,SF,21,POR,35,16,25.3,3.2,7.2,.447,1.1,3.5,.317,2.1,3.7,.569,.524,1.5,2.1,.720,1.4,4.2,5.6,1.2,0.7,0.9,0.9,2.1,9.1
323,Isaiah Livers\liveris01,SF,23,DET,1,0,5.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
324,Kevon Looney\looneke01,C,25,GSW,40,40,20.0,2.5,4.7,.537,0.0,0.0,.000,2.5,4.7,.540,.537,0.9,1.5,.617,2.4,4.2,6.7,1.6,0.6,0.8,0.8,2.7,6.0
325,Brook Lopez\lopezbr01,C,33,MIL,1,1,28.0,3.0,9.0,.333,2.0,4.0,.500,1.0,5.0,.200,.444,0.0,0.0,,2.0,3.0,5.0,0.0,1.0,3.0,0.0,3.0,8.0
326,Robin Lopez\lopezro01,C,33,ORL,17,5,17.8,3.6,6.2,.575,0.0,0.2,.000,3.6,6.1,.592,.575,0.8,1.3,.591,2.2,1.5,3.7,2.0,0.1,0.6,1.4,1.9,7.9
327,Didi Louzada\louzama01,SF,22,NOP,2,0,3.5,0.0,1.5,.000,0.0,1.5,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
328,Kevin Love\loveke01,PF,33,CLE,33,2,21.5,4.4,10.1,.431,2.6,6.3,.411,1.8,3.8,.465,.558,2.9,3.3,.881,1.2,6.3,7.4,2.1,0.3,0.2,1.2,1.0,14.2
329,Kyle Lowry\lowryky01,PG,35,MIA,36,36,34.3,4.6,10.9,.422,2.1,6.4,.325,2.5,4.5,.562,.518,2.4,2.9,.845,0.6,3.9,4.5,8.4,1.0,0.4,3.2,2.7,13.7
330,Timothé Luwawu-Cabarrot\luwawti01,SF,26,ATL,26,11,14.6,1.6,4.1,.387,1.0,2.8,.356,0.6,1.3,.455,.509,0.6,0.7,.833,0.3,1.3,1.7,0.8,0.4,0.1,0.4,1.5,4.7
331,Trey Lyles\lylestr01,PF,26,DET,37,3,18.7,3.1,7.1,.435,0.9,2.9,.294,2.2,4.1,.536,.496,2.0,2.5,.815,1.3,3.4,4.7,1.2,0.4,0.4,1.0,1.7,9.1
332,Théo Maledon\maledth01,PG,20,OKC,21,0,13.6,1.0,3.7,.282,0.4,2.1,.182,0.7,1.6,.412,.333,1.2,1.4,.867,0.4,1.4,1.8,1.0,0.5,0.1,0.9,1.0,3.7
333,Sandro Mamukelashvili\mamuksa01,PF,22,MIL,22,2,11.9,1.5,3.4,.427,0.6,1.6,.371,0.9,1.8,.475,.513,0.4,0.5,.750,1.2,1.2,2.4,0.5,0.3,0.3,0.4,0.8,3.9
334,Terance Mann\mannte01,SF,25,LAC,41,14,29.6,4.0,8.4,.484,1.1,2.9,.376,3.0,5.5,.540,.548,1.4,1.9,.740,1.5,3.8,5.3,2.4,0.5,0.1,1.1,2.2,10.6
335,Tre Mann\manntr01,PG,20,OKC,27,2,17.0,2.8,7.1,.396,1.0,2.9,.354,1.8,4.2,.425,.469,0.6,0.9,.667,0.4,1.8,2.2,0.7,0.5,0.2,0.7,1.5,7.3
336,Boban Marjanović\marjabo01,C,33,DAL,16,0,5.9,2.2,3.5,.625,0.1,0.2,.333,2.1,3.3,.642,.634,0.5,1.0,.500,0.4,1.4,1.9,0.1,0.0,0.1,0.7,1.2,4.9
337,Lauri Markkanen\markkla01,PF,24,CLE,32,32,30.4,4.8,11.7,.413,1.8,6.0,.309,3.0,5.8,.522,.492,1.8,2.0,.862,1.1,4.2,5.3,1.7,0.7,0.5,0.8,1.8,13.3
338,Naji Marshall\marshna01,SF,24,NOP,21,0,10.2,1.0,3.1,.308,0.1,1.3,.111,0.8,1.8,.447,.331,1.2,1.4,.862,0.7,2.0,2.6,1.0,0.4,0.1,1.0,1.0,3.2
339,Caleb Martin\martica02,SF,26,MIA,30,8,22.7,3.4,6.8,.505,1.0,2.7,.370,2.4,4.1,.593,.578,1.0,1.5,.667,1.1,2.5,3.6,1.0,0.9,0.6,0.7,1.5,8.9
340,Cody Martin\martico01,SF,26,CHO,36,5,26.8,3.1,6.5,.481,1.1,2.3,.476,2.0,4.2,.483,.564,1.2,1.6,.724,1.3,2.9,4.1,2.7,1.5,0.5,0.8,1.7,8.5
341,Kelan Martin\martike03,SF,26,IND,27,1,16.4,2.6,6.2,.417,0.8,2.7,.297,1.8,3.5,.511,.482,0.3,0.5,.692,0.6,1.4,2.0,0.8,0.5,0.3,0.5,1.3,6.3
342,Kenyon Martin Jr.\martike04,SF,21,HOU,39,0,18.9,3.3,6.2,.527,0.6,1.8,.329,2.7,4.4,.608,.575,1.1,1.7,.652,1.0,2.7,3.7,1.3,0.4,0.5,0.7,1.2,8.2
343,Garrison Mathews\mathega01,SG,25,HOU,25,16,28.6,3.5,8.3,.418,2.6,6.9,.370,0.9,1.4,.657,.572,2.2,2.8,.797,0.6,3.0,3.6,0.9,0.7,0.4,0.7,3.1,11.7
344,Dakota Mathias\mathida01,SG,26,MEM,4,0,2.0,0.5,1.0,.500,0.5,1.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3,1.5
345,Wesley Matthews\matthwe02,SG,35,MIL,15,4,20.3,2.6,5.2,.500,1.6,3.7,.429,1.0,1.5,.682,.654,0.2,0.4,.500,0.5,1.5,2.1,0.8,0.4,0.3,0.5,1.5,7.0
346,Tyrese Maxey\maxeyty01,PG,21,PHI,32,31,34.5,6.4,13.5,.473,1.3,3.4,.380,5.1,10.1,.505,.521,2.8,3.2,.871,0.4,3.1,3.5,4.5,0.7,0.6,1.3,2.2,16.8
347,Skylar Mays\mayssk01,SG,24,ATL,16,5,11.4,1.9,3.6,.544,0.5,1.4,.348,1.4,2.1,.676,.614,0.4,0.4,1.000,0.3,1.1,1.4,0.8,0.4,0.0,0.4,0.4,4.8
348,Miles McBride\mcbrimi01,PG,21,NYK,16,2,8.9,0.9,3.3,.288,0.3,1.7,.185,0.6,1.6,.400,.337,0.2,0.3,.750,0.1,0.8,0.9,1.2,0.5,0.1,0.2,0.9,2.4
349,Mac McClung\mccluma01,PG,23,CHI,1,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
350,CJ McCollum\mccolcj01,SG,30,POR,24,24,35.3,8.0,18.8,.424,3.2,8.2,.393,4.8,10.6,.447,.509,1.5,2.1,.700,1.1,3.0,4.1,4.5,1.1,0.7,1.9,2.1,20.6
351,T.J. McConnell\mccontj01,PG,29,IND,24,6,24.2,3.8,7.5,.503,0.3,1.0,.280,3.5,6.5,.538,.522,0.5,0.6,.800,0.8,2.5,3.3,4.8,1.0,0.4,1.2,1.8,8.4
352,Jaden McDaniels\mcdanja02,PF,21,MIN,38,17,26.5,3.3,7.7,.423,1.0,3.4,.282,2.3,4.3,.537,.486,0.7,0.9,.818,1.4,3.2,4.6,1.1,0.8,0.6,1.1,3.4,8.2
353,Jalen McDaniels\mcdanja01,SF,24,CHO,34,2,17.9,2.5,5.0,.503,0.9,2.2,.387,1.7,2.8,.594,.588,0.9,1.3,.659,0.8,2.7,3.5,1.2,0.6,0.4,0.8,1.8,6.8
354,Doug McDermott\mcderdo01,PF,30,SAS,26,26,24.6,4.3,9.3,.465,2.1,5.2,.410,2.2,4.2,.532,.578,0.6,0.8,.727,0.4,2.2,2.6,1.3,0.2,0.1,0.7,1.4,11.4
355,JaVale McGee\mcgeeja01,C,34,PHO,36,10,16.0,4.3,6.5,.654,0.0,0.1,.250,4.2,6.4,.661,.656,1.5,2.2,.675,2.3,4.8,7.1,0.6,0.3,0.8,1.6,2.6,10.0
356,Cameron McGriff\mcgrica01,SF,24,POR,3,0,15.3,1.7,4.7,.357,0.7,2.0,.333,1.0,2.7,.375,.429,0.7,0.7,1.000,2.0,3.0,5.0,1.0,0.0,0.3,0.0,2.3,4.7
357,Rodney McGruder\mcgruro01,SG,30,DET,17,0,9.5,1.0,2.6,.386,0.3,1.2,.238,0.7,1.4,.522,.443,0.2,0.2,.750,0.5,1.1,1.6,0.6,0.2,0.1,0.5,0.7,2.5
358,Alfonzo McKinnie\mckinal01,SF,29,CHI,7,0,14.0,2.0,4.0,.500,1.1,2.3,.500,0.9,1.7,.500,.643,0.0,0.3,.000,0.7,0.9,1.6,0.4,0.3,0.3,0.4,1.3,5.1
359,JaQuori McLaughlin\mclauja01,PG,24,DAL,4,0,2.8,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0
360,Jordan McLaughlin\mclaujo01,PG,25,MIN,28,2,11.2,0.8,2.6,.284,0.1,1.0,.143,0.6,1.6,.370,.311,0.5,0.8,.682,0.2,0.9,1.1,2.4,0.6,0.0,0.7,0.5,2.2
361,Ben McLemore\mclembe01,SG,28,POR,23,2,15.8,2.8,6.5,.436,2.1,5.1,.419,0.7,1.4,.500,.601,0.6,0.7,.867,0.3,1.0,1.3,0.7,0.3,0.1,0.6,1.3,8.3
362,De'Anthony Melton\meltode01,SG,23,MEM,34,13,23.5,3.6,9.2,.391,1.5,4.8,.317,2.1,4.4,.473,.474,1.1,1.4,.750,1.0,3.4,4.4,2.9,1.6,0.6,1.6,1.9,9.8
363,Sam Merrill\merrisa01,SG,25,MEM,6,0,9.7,1.3,4.0,.333,1.2,3.8,.304,0.2,0.2,1.000,.479,0.3,0.7,.500,0.2,1.0,1.2,0.7,0.0,0.0,0.3,0.5,4.2
364,Chimezie Metu\metuch01,C,24,SAC,27,16,22.8,3.5,8.5,.409,1.0,3.8,.272,2.4,4.7,.520,.470,1.0,1.3,.778,0.7,5.6,6.3,1.0,0.9,0.7,0.9,1.4,9.0
365,Khris Middleton\middlkh01,SF,30,MIL,31,31,31.5,6.4,14.9,.432,2.3,6.2,.377,4.1,8.7,.470,.510,3.9,4.5,.884,0.7,4.8,5.5,5.3,1.1,0.2,3.2,2.3,19.1
366,C.J. Miles\milescj01,SG,34,BOS,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
367,Patty Mills\millspa02,PG,33,BRK,39,23,31.0,4.6,10.8,.428,3.1,7.6,.412,1.5,3.2,.464,.572,0.7,0.7,.897,0.3,1.8,2.1,2.6,0.6,0.3,1.1,1.4,13.0
368,Paul Millsap\millspa01,PF,36,BRK,23,0,10.9,1.2,3.4,.354,0.3,1.1,.231,1.0,2.3,.415,.392,0.5,0.7,.706,1.1,2.3,3.4,1.0,0.2,0.3,0.4,2.0,3.2
369,Shake Milton\miltosh01,PG,25,PHI,27,6,24.7,4.0,9.4,.429,0.9,2.9,.316,3.1,6.5,.480,.478,1.5,1.8,.854,0.5,2.5,3.0,2.8,0.7,0.4,1.1,2.1,10.5
370,Davion Mitchell\mitchda01,PG,23,SAC,37,1,24.8,3.7,9.5,.389,1.1,3.7,.304,2.5,5.7,.443,.449,0.6,0.9,.647,0.5,1.7,2.2,3.2,0.6,0.2,1.0,1.8,9.1
371,Donovan Mitchell\mitchdo01,SG,25,UTA,37,37,33.4,9.4,20.8,.454,3.3,9.4,.347,6.2,11.3,.544,.533,3.8,4.3,.881,0.9,2.9,3.8,5.2,1.6,0.2,3.0,2.5,25.9
372,Evan Mobley\mobleev01,PF,20,CLE,33,33,34.0,6.1,12.1,.501,0.5,1.5,.294,5.6,10.5,.532,.520,2.3,3.1,.735,1.7,6.4,8.1,2.6,0.8,1.8,1.8,2.2,14.8
373,Malik Monk\monkma01,SG,23,LAL,36,9,26.0,4.4,9.4,.472,2.1,5.3,.396,2.3,4.0,.572,.585,1.1,1.3,.844,0.4,2.4,2.9,2.2,0.7,0.5,1.3,1.5,12.0
374,Greg Monroe\monrogr01,C,31,TOT,5,0,16.2,2.6,4.4,.591,0.0,0.0,,2.6,4.4,.591,.591,0.4,1.0,.400,2.4,3.8,6.2,2.4,0.6,1.0,1.2,1.8,5.6
374,Greg Monroe\monrogr01,C,31,MIN,3,0,21.0,3.0,4.7,.643,0.0,0.0,,3.0,4.7,.643,.643,0.7,1.7,.400,1.7,5.3,7.0,3.7,0.7,1.3,1.3,2.3,6.7
374,Greg Monroe\monrogr01,C,31,WAS,2,0,9.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,3.5,1.5,5.0,0.5,0.5,0.5,1.0,1.0,4.0
375,Moses Moody\moodymo01,SG,19,GSW,25,1,7.0,0.8,2.2,.357,0.2,1.2,.129,0.6,1.0,.640,.393,0.3,0.4,.727,0.2,0.9,1.0,0.3,0.1,0.2,0.2,0.4,2.1
376,Xavier Moon\moonxa01,SG,27,LAC,5,0,13.8,2.2,6.0,.367,0.2,1.6,.125,2.0,4.4,.455,.383,0.0,0.0,,0.2,1.6,1.8,1.2,1.0,0.2,0.4,0.6,4.6
377,Matt Mooney\moonema01,SG,24,NYK,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
378,Ja Morant\moranja01,PG,22,MEM,30,30,32.4,9.2,18.9,.489,1.6,4.1,.379,7.7,14.7,.520,.531,4.8,6.3,.767,1.3,4.4,5.7,6.7,1.3,0.5,3.1,1.3,24.9
379,Juwan Morgan\morgaju01,PF,24,TOR,1,0,27.0,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0
380,Jaylen Morris\morrija01,SG,26,SAS,3,0,5.3,0.0,2.0,.000,0.0,0.7,.000,0.0,1.3,.000,.000,0.7,1.3,.500,0.0,0.7,0.7,0.7,0.0,0.0,0.3,0.7,0.7
381,Marcus Morris\morrima03,PF,32,LAC,21,21,30.3,5.8,13.3,.437,2.0,5.3,.375,3.8,8.0,.479,.513,2.6,3.0,.871,0.6,4.4,5.0,2.1,0.5,0.3,1.3,2.3,16.2
382,Markieff Morris\morrima02,PF,32,MIA,10,0,18.7,3.2,7.0,.457,0.8,2.2,.364,2.4,4.8,.500,.514,0.5,0.5,1.000,1.3,1.5,2.8,1.4,0.3,0.1,1.2,2.2,7.7
383,Monte Morris\morrimo01,PG,26,DEN,36,35,30.0,5.2,10.8,.481,1.7,4.4,.384,3.5,6.4,.548,.559,0.6,0.8,.724,0.3,2.4,2.7,4.2,0.7,0.1,1.3,1.4,12.7
384,Emmanuel Mudiay\mudiaem01,PG,25,SAC,2,0,5.5,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.5,2.0,.750,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.5,1.5
385,Mychal Mulder\muldemy01,PG,27,ORL,15,2,13.0,1.3,4.5,.299,0.9,3.1,.283,0.5,1.4,.333,.396,0.1,0.1,1.000,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7
386,Ade Murkey\murkead01,SG,24,SAC,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,Trey Murphy III\murphtr02,SF,21,NOP,34,0,13.4,1.3,3.9,.336,1.0,2.9,.340,0.3,1.0,.324,.462,0.4,0.4,.867,0.6,1.5,2.1,0.6,0.3,0.1,0.3,1.0,3.9
388,Dejounte Murray\murrade01,PG,25,SAS,35,35,34.3,7.7,17.5,.441,1.4,4.1,.331,6.3,13.3,.475,.480,1.6,2.3,.722,1.2,7.0,8.2,8.9,2.1,0.5,2.5,2.0,18.4
389,Mike Muscala\muscami01,C,30,OKC,33,0,13.8,2.6,5.8,.447,1.6,3.8,.419,1.0,2.0,.500,.584,1.3,1.5,.875,0.5,2.6,3.1,0.5,0.4,0.6,0.3,1.3,8.0
